CustomerKey,Frequency_x,Recency_x,Monetary_x,R_score_x,F_score_x,M_score_x,RFM_score_x,Title,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,DateFirstPurchase,CommuteDistance,Frequency_y,Recency_y,Monetary_y,R_score_y,F_score_y,M_score_y,RFM_score_y,Segment
11000,8,608,9073.889000000001,2,4,5,11,,Jon,Yang,1990-03-14 07:40:48,Married,Male,jon24@adventure-works.com,99000.00000000001,2,0,Bachelors,Professional,Y,2021-01-17,1-2 Miles,8,608,9073.889000000001,2,4,5,11,Big Spenders
11001,11,387,7022.268,5,4,5,14,,Eugene,Huang,1995-07-12 19:12:00,Single,Male,eugene10@adventure-works.com,66000.0,3,3,Bachelors,Professional,N,2021-01-13,0-1 Miles,11,387,7022.268,5,4,5,14,Most valuable
11002,4,677,8925.444,1,3,5,9,,Ruben,Torres,1989-06-10 01:55:12,Married,Male,ruben35@adventure-works.com,66000.0,3,3,Bachelors,Professional,Y,2021-01-05,2-5 Miles,4,677,8925.444,1,3,5,9,Big Spenders
11003,9,601,8953.219000000001,2,4,5,11,,Christy,Zhu,1992-05-08 19:12:00,Single,Female,christy12@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2016-12-27,5-10 Miles,9,601,8953.219000000001,2,4,5,11,Big Spenders
11004,6,610,9015.611,2,4,5,11,,Elizabeth,Johnson,1999-04-13 22:04:48,Single,Female,elizabeth5@adventure-works.com,88000.0,5,5,Bachelors,Professional,Y,2021-01-21,1-2 Miles,6,610,9015.611,2,4,5,11,Big Spenders
11005,6,609,8933.463,2,4,5,11,,Julio,Ruiz,1995-10-17 01:55:12,Single,Male,julio1@adventure-works.com,77000.0,0,0,Bachelors,Professional,Y,2016-12-28,5-10 Miles,6,609,8933.463,2,4,5,11,Big Spenders
11006,5,597,8930.933,2,4,5,11,,Janet,Alvarez,1996-03-07 18:14:24,Single,Female,janet9@adventure-works.com,77000.0,0,0,Bachelors,Professional,Y,2021-01-22,5-10 Miles,5,597,8930.933,2,4,5,11,Big Spenders
11007,8,653,9032.1,1,4,5,10,,Marco,Mehta,1987-12-24 11:31:12,Married,Male,marco14@adventure-works.com,66000.0,3,3,Bachelors,Professional,Y,2021-01-07,0-1 Miles,8,653,9032.1,1,4,5,10,Big Spenders
11008,7,670,8916.941,1,4,5,10,,Rob,Verhoff,1994-07-17 00:57:36,Single,Female,rob4@adventure-works.com,66000.0,4,4,Bachelors,Professional,Y,2021-01-23,10+ Miles,7,670,8916.941,1,4,5,10,Big Spenders
11009,5,602,8900.463,2,4,5,11,,Shannon,Carlson,1987-11-10 09:36:00,Single,Male,shannon38@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2021-01-25,5-10 Miles,5,602,8900.463,2,4,5,11,Big Spenders
11010,4,588,8896.844000000001,2,3,5,10,,Jacquelyn,Suarez,1987-09-07 14:24:00,Single,Female,jacquelyn20@adventure-works.com,77000.0,0,0,Bachelors,Professional,N,2021-01-12,5-10 Miles,4,588,8896.844000000001,2,3,5,10,Big Spenders
11011,4,653,8946.344000000001,1,3,5,9,,Curtis,Lu,1987-05-21 13:26:24,Married,Male,curtis9@adventure-works.com,66000.0,4,4,Bachelors,Professional,Y,2016-12-28,10+ Miles,4,653,8946.344000000001,1,3,5,9,Big Spenders
11012,5,443,89.38600000000001,4,4,2,10,,Lauren,Walker,1998-08-21 10:33:36,Married,Female,lauren41@adventure-works.com,110000.00000000001,2,0,Bachelors,Management,Y,2023-03-15,1-2 Miles,5,443,89.38600000000001,4,4,2,10,Loyal
11013,5,345,125.35600000000001,5,4,3,12,,Ian,Jenkins,1999-04-11 14:24:00,Married,Male,ian47@adventure-works.com,110000.00000000001,2,0,Bachelors,Management,Y,2023-04-12,0-1 Miles,5,345,125.35600000000001,5,4,3,12,Loyal
11014,6,611,152.29500000000002,2,4,3,9,,Sydney,Bennett,1992-08-14 05:45:36,Single,Female,sydney23@adventure-works.com,110000.00000000001,3,0,Bachelors,Management,N,2023-03-22,1-2 Miles,6,611,152.29500000000002,2,4,3,9,Others
11015,3,713,2751.067,1,2,4,7,,Chloe,Young,2005-02-24 14:24:00,Single,Female,chloe23@adventure-works.com,33000.0,0,0,Partial College,Skilled Manual,N,2023-01-17,5-10 Miles,3,713,2751.067,1,2,4,7,Big Spenders
11016,3,691,2565.508,1,2,4,7,,Wyatt,Hill,2005-05-05 04:48:00,Married,Male,wyatt32@adventure-works.com,33000.0,0,0,Partial College,Skilled Manual,Y,2023-02-08,5-10 Miles,3,691,2565.508,1,2,4,7,Big Spenders
